step,type,price,shares
1,buy,557.9626859523163,8.99911808642753
20,sell,572.0015959633056,8.99911808642753
21,buy,578.3289436480338,8.713621474647129
40,sell,571.081928664692,8.713621474647129
41,buy,574.9421851648676,8.732922925458181
60,sell,562.7363783012493,8.732922925458181
61,buy,571.0361694231495,8.805732180586721
80,sell,587.4533770877656,8.805732180586721
81,buy,593.5591279893875,8.481153419909024
94,sell,544.9558910011202,8.481153419909024
95,buy,548.7330030509132,9.100568269483288
99,sell,517.8210285528412,9.100568269483288
100,buy,522.9668272872258,9.54674470568189
101,sell,483.17309917283234,9.54674470568189
102,buy,487.5570545379715,10.194543010026646
