step,type,price,shares
1,buy,167.7044521966216,29.958058717795087
20,sell,173.04052603720942,29.958058717795087
21,buy,174.95979533704013,28.761919012235357
36,sell,191.08544467831274,28.761919012235357
37,buy,192.48431206530844,26.21093495623542
43,sell,181.704751384805,26.21093495623542
44,buy,183.0610214343637,27.498588048610376
48,sell,176.66354107972805,27.498588048610376
49,buy,178.19086221230165,28.24486151877006
54,sell,164.34593859464218,28.24486151877006
55,buy,165.74156681678838,30.230662988962436
