step,type,price,shares
1,buy,162.69613417228126,30.934851203365714
20,sell,149.59667136101314,30.934851203365714
21,buy,151.07515359929553,33.075370209682454
40,sell,165.99145787236375,33.075370209682454
41,buy,167.91733649900092,29.986833594884672
60,sell,170.5414003538284,29.986833594884672
61,buy,171.90631957178786,29.268709788069085
80,sell,170.2896889585874,29.268709788069085
81,buy,172.3264221022545,29.21926167398283
87,sell,194.50965981395913,29.21926167398283
88,buy,196.31695141210372,25.778445529803058
