#{"t_start": 1741847040.915727, "env_id": "None"}
r,l,t
-204.276949,667,2.552101
-228.27799,756,3.970387
-140.406791,500,4.87969
-147.976955,531,5.918376
-169.680133,553,7.039239
-200.325034,639,8.348398
-221.143024,677,9.762185
-47.884291,223,10.320765
