#{"t_start": 1741776071.501953, "env_id": "None"}
r,l,t
-270.49321,667,1.238678
-282.470409,756,2.529436
-136.025727,500,3.33463
-162.551029,531,4.193742
-225.537986,553,5.115446
-266.167758,639,6.179472
-261.877642,677,7.356489
-52.062598,223,7.730187
