#{"t_start": 1741776063.182974, "env_id": "None"}
r,l,t
-251.840139,667,1.204787
-270.179473,756,2.478862
-160.82241,500,3.261398
-151.552723,531,4.111426
-208.691246,553,5.003721
-238.568255,639,6.09587
-267.619116,677,7.156024
-51.042615,223,7.511818
