#{"t_start": 1741901008.0319905, "env_id": "None"}
r,l,t
-301.81456,868,1.94264
-204.790499,701,2.518491
-258.775718,754,3.131912
-299.715724,878,3.842902
-98.550923,424,4.277011
-83.276791,378,4.588194
-335.572077,950,5.35582
-323.721729,887,24.264262
-275.823868,744,42.430058
-85.27836,366,51.550647
-97.845959,408,61.747004
-74.799659,317,67.296664
-93.833866,424,77.305525
-240.315258,757,96.165658
-81.731627,379,105.609218
-229.781894,766,128.713012
-139.880999,550,142.491348
-250.502992,698,159.897323
-266.830444,762,178.266875
-209.249606,638,191.154093
-339.198225,888,211.051296
-279.843769,883,232.039267
-159.704238,630,247.227612
-201.218639,712,264.430871
-123.983122,512,276.749045
-290.038423,855,297.54033
-311.675924,902,319.574236
-221.647033,682,336.274714
-81.359546,349,344.784022
-84.438404,391,354.237548
-58.925913,261,360.689676
-62.470106,287,371.199448
-211.083644,686,388.20445
-230.821789,744,406.902751
-158.806584,593,421.669838
-140.454988,518,434.680286
-150.721436,609,449.426475
-150.200059,603,461.109839
-232.670062,768,477.811133
-202.095976,709,493.046794
-59.307642,283,498.681116
-323.347379,909,516.810771
-69.354392,332,524.590887
-108.010502,436,532.056403
-221.582083,732,546.600166
-117.0357,509,559.138838
-178.546828,706,572.676492
-58.766783,278,577.69708
-199.427845,585,593.003343
-269.156469,925,612.910549
-298.183112,950,631.354213
-129.788284,572,641.070488
-317.298341,915,661.570154
-96.798121,402,669.572258
-169.981932,660,684.371566
-70.985441,311,694.07656
-129.928421,577,711.063302
-123.035885,513,726.867109
-169.890186,711,748.874332
-199.290423,730,771.640558
-92.339368,408,783.249668
-171.384714,713,805.550376
-86.38483,384,817.713398
-79.418432,385,830.219804
-135.361024,612,851.074285
-51.550462,232,862.013641
-283.72733,934,892.29774
-228.582934,826,919.535265
-238.242715,819,941.04866
-145.455821,550,952.563247
-283.827845,917,971.629149
-163.260613,592,985.677829
-127.607594,503,998.914547
-160.395581,725,1016.475753
-309.162509,971,1039.460178
-318.450739,865,1060.161338
-108.713511,433,1070.602335
-162.240042,709,1086.789094
-72.430516,326,1093.653701
-220.584988,830,1111.80837
-115.893341,518,1124.620445
-164.967197,713,1142.207262
-280.116265,800,1162.096447
-248.212277,874,1183.819731
-208.996075,677,1200.424686
-98.99721,463,1210.329974
-170.610565,779,1228.259024
-140.295163,600,1242.97225
-235.82693,817,1262.608006
-94.339227,439,1273.057477
-79.254435,369,1281.841504
-104.265932,482,1293.347132
-231.11568,868,1313.519885
-147.579592,668,1329.271346
-226.538482,923,1348.324856
-2.301044,10,1352.842724
-104.055305,485,1363.32302
-96.016035,437,1369.880725
-237.194163,854,1385.7824
-65.607676,307,1391.733452
-87.73929,420,1400.290837
-232.083788,711,1417.202188
-77.044626,361,1425.868129
-191.828672,766,1444.614486
-59.023988,276,1451.432198
-54.582465,252,1457.633677
-122.230605,574,1471.616694
-68.407923,317,1479.332513
-112.872485,534,1492.44888
-109.614434,520,1505.546808
-236.364063,729,1523.41983
-263.079614,917,1543.396312
-295.399907,961,1567.242836
-86.692051,415,1577.216071
-36.164035,164,1585.511411
-57.487651,258,1592.122581
-260.765251,922,1614.70799
-262.607211,913,1635.999913
-157.110638,644,1650.921293
-102.570673,456,1661.7728
-168.900861,697,1678.062116
-105.286994,485,1688.505306
-96.973652,430,1697.245463
-84.957271,398,1706.927614
-123.714032,498,1719.330338
-111.533643,498,1731.908218
-171.433804,788,1751.345283
-218.270835,883,1771.835976
-115.461855,541,1785.253305
-120.038967,549,1798.79277
-108.003178,504,1811.631541
-121.997602,536,1826.528405
-239.693852,882,1848.802218
-123.570748,570,1862.882479
-137.067769,635,1876.648287
-191.804157,728,1897.531577
-238.007583,788,1916.892979
-115.251754,523,1929.751522
-140.459265,550,1943.110504
-182.188546,697,1960.142487
-156.525971,727,1977.256758
-120.324433,529,1986.631925
-219.142899,882,2001.971702
-78.799315,315,2007.370732
-220.773518,967,2029.366189
-164.992631,740,2046.743066
-108.700386,467,2059.900601
-131.255659,572,2073.65
-176.093304,814,2093.534317
-225.585874,980,2116.784858
-181.916364,711,2133.923292
-156.592708,690,2150.375052
-55.117793,269,2156.783523
-87.841377,413,2166.866724
-102.346183,484,2178.818047
-207.141561,788,2197.97831
-259.728902,760,2216.728896
-84.755662,389,2226.263252
-94.058489,427,2235.736521
-142.551941,661,2250.269243
-200.541173,931,2267.679445
-110.717866,494,2275.663661
-100.025651,439,2284.936027
-39.112662,178,2291.118582
-267.893996,912,2310.973583
-240.369506,913,2330.075659
-200.830124,742,2345.277938
-183.377923,860,2365.44891
-176.872624,730,2379.867312
-84.801963,374,2386.373438
-74.211265,348,2392.226241
-131.067312,553,2402.009077
-81.251206,385,2408.707986
-101.318976,447,2416.473903
-162.004852,715,2429.082972
-63.312378,297,2434.240042
-148.164309,661,2445.922481
-177.014533,711,2458.117001
-209.604863,848,2473.030389
-69.634534,322,2478.513096
-40.343014,182,2485.027864
-109.726921,513,2493.801425
-93.934839,406,2501.320182
-230.23723,907,2517.262311
-170.337606,764,2530.481514
-171.000452,711,2542.808543
-136.501645,625,2553.703614
-162.750922,732,2566.242237
-148.645062,691,2578.201042
-118.410853,534,2587.223591
-55.934995,262,2591.699533
-78.818184,356,2597.977338
-99.237682,441,2605.092201
-64.166821,299,2610.536954
-150.033246,676,2621.945653
-187.89887,876,2636.7445
-161.977106,712,2649.323035
