#{"t_start": 1741901008.0319905, "env_id": "None"}
r,l,t
-110.522131,495,2659.247575
-157.760436,704,2671.046318
-78.743694,363,2677.350816
-135.43784,631,2688.031905
-59.424732,279,2692.933222
-153.575849,712,2705.031084
-111.383807,482,2713.017306
-236.399212,930,2728.488574
-72.38713,333,2733.906588
-145.287821,699,2746.051628
-229.382558,979,2762.808592
-266.31699,849,2776.842903
-153.88873,714,2789.177773
-117.333385,530,2798.391906
-57.188568,260,2802.887429
-83.611412,408,2809.8801
-185.5089,868,2824.784364
-57.236176,259,2831.021834
-141.526566,604,2841.447935
-94.105068,417,2848.309559
-112.128086,542,2857.937587
-259.220866,940,2874.301482
-128.364614,609,2885.302112
-134.165799,616,2896.544839
-60.456094,284,2901.313064
-65.154074,300,2906.429495
-136.427638,620,2917.203827
-85.282331,409,2924.215452
-74.121614,347,2930.347866
-195.865147,824,2944.324775
-179.033536,816,2958.562947
-116.800691,560,2968.53925
-182.931803,799,2982.420714
-145.179271,642,2993.711161
-63.749985,297,2998.763861
-83.668389,374,3008.201703
-186.665398,872,3023.3585
-201.346043,943,3040.253834
-164.223158,755,3053.643736
-112.174935,511,3062.607538
-152.092282,670,3074.18119
-173.403874,754,3087.782243
-66.3646,307,3093.337587
-130.575624,574,3103.206611
-164.643554,697,3114.903494
-161.889248,697,3127.42946
-72.213544,326,3133.174391
-127.949105,573,3143.290745
-93.98875,433,3150.993304
-262.124763,954,3167.614421
-155.359505,715,3180.272103
-45.253103,219,3187.015057
-80.942939,372,3193.848637
-133.109783,629,3204.887379
-142.455244,661,3216.353966
-75.105578,362,3222.702273
-205.501036,864,3237.757626
-94.639965,392,3244.541871
-165.627977,722,3257.97667
-54.855613,257,3262.294159
-208.996445,981,3279.603424
-90.616773,431,3287.126774
-68.296198,296,3292.351048
-135.746609,610,3302.806163
-194.016797,911,3318.838289
-140.901337,644,3330.153498
-168.024193,661,3341.654333
-180.818025,855,3356.639123
-76.459018,352,3365.096991
-122.825226,564,3374.577502
-123.382057,570,3384.786967
-144.653593,680,3396.271259
-189.708987,852,3411.497112
-125.249925,552,3420.787609
-129.625373,594,3431.476215
-175.644421,804,3445.962628
-84.065537,400,3452.613047
-126.69289,567,3462.48209
-228.547676,982,3480.257285
-156.133961,689,3492.469304
-115.260856,542,3502.209905
-81.655813,361,3508.485328
-147.959223,653,3520.169228
-111.637731,530,3529.466636
-65.116157,291,3534.538829
-83.215217,369,3543.782997
-189.090197,896,3559.927264
-98.50658,455,3567.560731
-70.184854,334,3573.58061
-159.667037,639,3584.517401
-164.808926,742,3597.460621
-144.252885,665,3609.012531
-167.608267,779,3622.166445
-199.396117,957,3638.805641
-160.448635,732,3651.642122
-74.753066,357,3657.715432
-203.498296,908,3673.562915
-121.738215,558,3683.411103
-90.533849,393,3689.920196
-59.929632,269,3694.618789
-114.591266,476,3703.059396
-152.541582,733,3716.27141
-21.82094,107,3721.521199
-187.062365,873,3736.795697
-113.87736,547,3746.334281
-172.409938,802,3760.57395
-94.405857,452,3768.27494
-207.581961,931,3784.733137
-174.715192,727,3797.59139
-113.479985,515,3806.470745
-109.261298,507,3815.509293
-94.599937,439,3823.52464
-84.352815,373,3830.137481
-119.126585,529,3839.524808
-97.719614,466,3847.674462
-85.991152,421,3855.196043
-174.435699,820,3869.689484
-112.128556,496,3878.291479
-152.245848,717,3890.612762
-84.13425,385,3899.771131
-99.588882,449,3907.854201
-71.828424,341,3914.187433
-152.971728,701,3926.4851
-200.477802,903,3941.798756
-152.743582,690,3953.943513
-153.705781,704,3966.223397
-150.841492,655,3977.52249
-197.23837,900,3993.243821
-177.770099,828,4007.431855
-131.953492,590,4017.549335
-188.073256,826,4031.805367
-218.579809,763,4044.997423
-123.277937,558,4054.628558
-138.992275,644,4066.041365
-96.914938,448,4077.147101
-117.128774,552,4086.603369
-92.50539,384,4093.306819
-205.827253,962,4109.894388
-84.493344,393,4116.73438
-104.265063,494,4125.211588
-135.393067,622,4136.404476
-130.338085,583,4146.646928
-90.536877,431,4153.90673
-94.923342,423,4162.045335
-158.347155,757,4175.154331
-162.467393,758,4188.431156
-115.469994,536,4197.68836
-206.211481,953,4214.265499
-152.216626,638,4225.457625
-61.611622,287,4230.528927
-169.11579,813,4244.868382
-93.287211,414,4254.009772
-125.983171,579,4264.179227
-84.236865,405,4271.128618
-200.950953,955,4287.541349
-78.235675,324,4293.339387
-174.324927,844,4308.131493
-172.085373,796,4321.987128
-181.926268,716,4333.973449
-137.254314,647,4345.292431
-117.04506,517,4353.775077
-137.565472,637,4364.957071
-127.491306,594,4375.251026
-131.081474,551,4384.776172
-215.831847,899,4400.280037
-205.153035,963,4416.919925
-96.583273,430,4424.340343
-36.394987,143,4427.966805
-69.146798,315,4434.106507
-208.700299,951,4452.573195
-172.739602,778,4469.422689
-72.767488,346,4477.968715
-163.244544,738,4493.260707
-105.808523,498,4503.395545
-190.65562,865,4521.24551
-174.639262,759,4533.827542
-55.157298,266,4538.401816
-133.048637,605,4548.85007
-83.529489,362,4555.158252
-180.101032,865,4569.958487
-171.599039,815,4583.990533
-184.37757,872,4598.683189
-212.920992,956,4615.036993
-1.882475,9,4617.242011
-55.531385,250,4621.619134
-204.359991,905,4637.019928
-57.125753,275,4641.560737
-172.133119,734,4653.961568
-58.182426,269,4658.359147
-149.931052,674,4669.622684
-83.693654,368,4675.966388
-87.924113,403,4682.748087
-135.759641,627,4693.390236
-119.03851,544,4702.328448
-127.326377,603,4712.465899
-101.792525,464,4720.856885
-140.021809,633,4731.432783
-117.577932,552,4740.552217
-186.834148,874,4755.052348
-129.028225,612,4765.36098
-108.627413,512,4773.919927
-182.064571,701,4788.761163
-94.902852,448,4796.108708
-160.645283,706,4808.024826
-90.113607,431,4815.291445
-100.749582,487,4823.552473
-112.407435,536,4832.423586
-79.513055,376,4838.795447
-141.355982,652,4849.972857
-198.162164,894,4864.975102
-126.947461,521,4873.554777
-110.664632,507,4882.085311
-79.848065,358,4888.228778
-129.341134,594,4898.191617
-213.054097,953,4914.385859
-140.702245,650,4925.369034
-104.461859,483,4933.662839
-141.434553,619,4944.885092
-143.076053,634,4957.140678
-31.973706,151,4964.038172
-250.388116,972,4980.37357
-166.183091,787,4992.924145
-172.532698,735,5004.720844
-122.309752,566,5013.97664
-87.11941,414,5020.328995
-157.713528,736,5032.054706
-105.952526,495,5040.227216
-57.098202,254,5044.345803
-111.203654,524,5052.606796
-189.371882,887,5066.935029
-185.859148,756,5079.443811
-56.594755,274,5083.949089
-147.879406,669,5094.635807
-81.051602,387,5101.046226
-104.496753,498,5108.971161
-96.003344,439,5116.441687
-122.513169,547,5125.307123
-14.138535,60,5128.084199
-108.188135,518,5136.707449
-145.112257,669,5147.719395
-165.193115,746,5159.755197
-177.263155,785,5171.577762
-194.087772,860,5184.997756
-97.547315,434,5191.680228
-58.705905,276,5196.01726
-171.668741,786,5207.909005
-109.36253,487,5215.354291
-79.644039,379,5221.101893
-95.268141,445,5228.781909
-151.256999,693,5239.290457
-181.271266,784,5251.155683
-180.05729,750,5262.945796
-173.467467,799,5275.000501
-133.602103,589,5285.063333
-153.26488,702,5296.02003
-203.196249,927,5310.62907
-150.23477,683,5320.962743
-182.079477,853,5334.136988
-101.717629,480,5341.316955
-213.321183,970,5356.439104
-173.658662,691,5367.233594
-101.808794,492,5374.946661
-140.605451,634,5384.765589
-202.440661,930,5398.977591
-107.252016,493,5406.673481
-198.48785,916,5421.102355
-99.050813,479,5428.110709
-87.084806,392,5434.468769
-64.589702,280,5438.756474
-18.681088,78,5441.196554
-200.330597,895,5455.14537
-190.769042,861,5468.45331
-128.825376,556,5477.254629
-76.60505,372,5483.882083
-231.933629,751,5495.334199
-92.432897,447,5502.118917
-109.95653,521,5510.042132
-150.444696,678,5520.759344
-112.398169,543,5529.76802
-83.526485,400,5536.156445
-293.073954,921,5550.855269
-186.129069,881,5565.305586
-164.704117,770,5577.989964
-179.330347,766,5590.455631
-66.85251,306,5595.456608
-76.241178,332,5605.032307
-197.830568,906,5619.459305
-217.287738,980,5634.703444
-110.893238,521,5642.998607
-79.626279,374,5649.025624
-142.510644,684,5659.646408
-172.842031,745,5671.092514
-56.272705,259,5675.216381
-57.136257,263,5679.127444
-199.20163,910,5693.737353
-170.909872,743,5705.531011
-74.580928,342,5711.050027
-63.400913,305,5716.124326
-120.392541,547,5725.304385
-89.874093,425,5732.027449
-66.963862,319,5737.357504
-156.902358,710,5748.834126
-189.208767,909,5764.425052
