#{"t_start": 1741775080.8787851, "env_id": "None"}
r,l,t
-227.4364,667,0.738721
-233.326351,756,1.459574
-152.413759,500,1.993985
-144.113912,531,2.529154
-182.877273,553,3.107829
-233.880893,639,3.77379
-235.69332,677,4.439908
-50.160416,223,4.735377
