#{"t_start": 1741776044.4715173, "env_id": "None"}
r,l,t
-216.116817,667,1.169218
-233.79802,756,2.379043
-135.211852,500,3.182331
-138.218271,531,4.029786
-173.109762,553,5.135332
-203.376225,639,6.268475
-211.388969,677,7.518292
-48.798436,223,7.93392
